group,Орехи,,,,1
Абрикос-ядро,520,100,,28fa2135-5307-11e4-aaab-000b6a4d90f4
Арахис,552,100,,28fa8f83-5307-11e4-aaab-000b6a4d90f4
Вишня-ядро,422,100,,28fb0040-5307-11e4-aaab-000b6a4d90f4
Какао тертое,559,100,,28fc616e-5307-11e4-aaab-000b6a4d90f4
Какао-бобы,565,100,,28fcd08e-5307-11e4-aaab-000b6a4d90f4
Кедровый орех,674,100,,28fd3feb-5307-11e4-aaab-000b6a4d90f4
Конопля-семя,373,100,,28fdaec8-5307-11e4-aaab-000b6a4d90f4
Кунжут-семя,565,100,,28fe1ce4-5307-11e4-aaab-000b6a4d90f4
Лещина,653,100,,28fe8d05-5307-11e4-aaab-000b6a4d90f4
Мак-семя,556,100,,28ff11ac-5307-11e4-aaab-000b6a4d90f4
Миндаль,609,100,,28ff836d-5307-11e4-aaab-000b6a4d90f4
Орех грецкий,656,100,,290005ca-5307-11e4-aaab-000b6a4d90f4
Орех кешью,600,100,,29007493-5307-11e4-aaab-000b6a4d90f4
Орех мускатный,556,100,,2900e37b-5307-11e4-aaab-000b6a4d90f4
Подсолнечник-семя,601,100,,290152e6-5307-11e4-aaab-000b6a4d90f4
Рапс-семя,544,100,,2901c2a3-5307-11e4-aaab-000b6a4d90f4
Слива-ядро,476,100,,29023166-5307-11e4-aaab-000b6a4d90f4
Фисташки,556,100,,2902a0f0-5307-11e4-aaab-000b6a4d90f4
Фундук,651,100,,290310c0-5307-11e4-aaab-000b6a4d90f4
Хлопчатник-семя,497,100,,29037f40-5307-11e4-aaab-000b6a4d90f4
Ядро ореха арахиса жареное,626,100,,2903ee5d-5307-11e4-aaab-000b6a4d90f4
Ядро ореха миндаля жареное,642,100,,29045d4b-5307-11e4-aaab-000b6a4d90f4
Ядро ореха фундука жареное,703,100,,2904cbe7-5307-11e4-aaab-000b6a4d90f4
,,,,290539f2-5307-11e4-aaab-000b6a4d90f4
,,,,2905aa0d-5307-11e4-aaab-000b6a4d90f4
,,,,2906193b-5307-11e4-aaab-000b6a4d90f4
,,,,290688e7-5307-11e4-aaab-000b6a4d90f4
,,,,2906f72f-5307-11e4-aaab-000b6a4d90f4
,,,,290766b4-5307-11e4-aaab-000b6a4d90f4
,,,,2907d534-5307-11e4-aaab-000b6a4d90f4
,,,,29086003-5307-11e4-aaab-000b6a4d90f4
,,,,2908cef6-5307-11e4-aaab-000b6a4d90f4
,,,,29093e54-5307-11e4-aaab-000b6a4d90f4
,,,,2909ac46-5307-11e4-aaab-000b6a4d90f4
,,,,290a1c77-5307-11e4-aaab-000b6a4d90f4
,,,,290a9fe9-5307-11e4-aaab-000b6a4d90f4
,,,,290b0f75-5307-11e4-aaab-000b6a4d90f4
,,,,290b7d78-5307-11e4-aaab-000b6a4d90f4
,,,,290becb4-5307-11e4-aaab-000b6a4d90f4
,,,,290c5b6c-5307-11e4-aaab-000b6a4d90f4
